	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
555	New Sze's Garden	-73.9197599887848	40.7082630466795	201 Cypress Ave	Ridgewood	11385	NY	['201 Cypress Ave', 'Ridgewood, NY 11385']	$	4.0	23
556	Uncle Chop Chop	-74.0016427455464	40.7316883151894	7 Cornelia St	New York	10014	NY	['7 Cornelia St', 'New York, NY 10014']		4.5	60
557	Great Sichuan	-73.98127	40.74082	363 3rd Ave	New York	10016	NY	['363 3rd Ave', 'New York, NY 10016']	$$	3.0	183
558	Chef 28	-73.98493	40.74393	29 E 28th St	New York	10016	NY	['29 E 28th St', 'New York, NY 10016']	$$	3.5	164
559	Thy’s Noodles	-73.9827849547527	40.7419297393756	97 Lexington Ave	New York	10010	NY	['97 Lexington Ave', 'New York, NY 10010']		4.5	79
560	Dun Huang	-74.00896	40.6353649	817 60th St	Brooklyn	11220	NY	['817 60th St', 'Fl 1', 'Brooklyn, NY 11220']		4.0	46
561	Koong Wing Restaurant	-74.0188984071407	40.6406285685895	6011 4th Ave	New York	11220	NY	['6011 4th Ave', 'New York, NY 11220']	$	3.5	13
562	Great Wall Chinese	-73.98763	40.7165	384 Grand St	New York	10002	NY	['384 Grand St', 'New York, NY 10002']	$	3.5	83
563	Szechuan Garden	-73.98508	40.662378	463 7th Ave	Brooklyn	11215	NY	['463 7th Ave', 'Brooklyn, NY 11215']	$$	3.5	72
564	Xi'an Famous Foods	-73.96934	40.79847	2675 Broadway	New York	10025	NY	['2675 Broadway', 'New York, NY 10025']	$	4.0	377
565	Best Kitchen Time	-73.95035	40.65659	1250 Nostrand Ave	Brooklyn	11225	NY	['1250 Nostrand Ave', 'Brooklyn, NY 11225']		4.0	7
566	Lin's Kitchen	-73.8955064	40.75051	70-24 35th Ave	Jackson Heights	11372	NY	['70-24 35th Ave', 'Jackson Heights, NY 11372']	$	3.5	40
567	Taste of Oriental	-73.99369	40.66492	614 4th Ave	Brooklyn	11215	NY	['614 4th Ave', 'Brooklyn, NY 11215']	$	3.5	21
568	Dynasty Chinese Restaurant	-73.944	40.630418	1669 Flatbush Ave	Brooklyn	11210	NY	['1669 Flatbush Ave', 'Brooklyn, NY 11210']	$	3.0	43
569	Jin Da Lai	-73.8281665929767	40.7645446214285	35-30 Union St	Flushing	11354	NY	['35-30 Union St', 'Flushing, NY 11354']	$$	4.5	21
570	Number 1 Chinese Restaurant	-73.90689	40.692001	824 Knickerbocker Ave	Brooklyn	11207	NY	['824 Knickerbocker Ave', 'Brooklyn, NY 11207']		4.0	3
571	Baoburg	-73.9503321851175	40.7234929271998	614 Manhattan Ave	Brooklyn	11222	NY	['614 Manhattan Ave', 'Brooklyn, NY 11222']	$$	4.0	202
572	Dragon Gate Chinese Cuisine	-73.9026148701016	40.778622	1944 37th St	Astoria	11105	NY	['1944 37th St', 'Astoria, NY 11105']	$$	3.5	23
573	Golden Way	-73.842849	40.67507	13309 Cross Bay Blvd	Ozone Park	11417	NY	['13309 Cross Bay Blvd', 'Ozone Park, NY 11417']	$	3.5	54
574	East Garden Chinese Restaurant	-73.94902	40.77793	1685 1st Ave	New York	10128	NY	['1685 1st Ave', 'New York, NY 10128']	$	3.5	52
575	Chuang Chef Chinese Restaurant	-73.8535555915395	40.7407207021367	55-27 108th St	Corona	11368	NY	['55-27 108th St', 'Corona, NY 11368']	$	4.0	4
576	Home's Kitchen Chinese Restaurant	-73.98913	40.73944	22 E 21st St	New York	10010	NY	['22 E 21st St', 'New York, NY 10010']	$$	3.5	182
577	Fu Xing House	-73.8726119995117	40.6837615966797	3335 Fulton St	Brooklyn	11208	NY	['3335 Fulton St', 'Brooklyn, NY 11208']	$	3.5	4
578	Good Joy	-73.97067	40.68942	216 Dekalb Ave	Brooklyn	11205	NY	['216 Dekalb Ave', 'Brooklyn, NY 11205']	$	3.0	25
579	Chelsea Golden Wok	-73.999824	40.74401	209 8th Ave	New York	10011	NY	['209 8th Ave', 'New York, NY 10011']	$	3.0	52
580	Double Dragon	-73.94061	40.78919	2037 1st Ave	New York	10029	NY	['2037 1st Ave', 'New York, NY 10029']		3.5	4
581	Hing Wong	-74.02434	40.62609	7922 5th Ave	Brooklyn	11209	NY	['7922 5th Ave', 'Brooklyn, NY 11209']	$	2.5	31
582	Chong Qing Lao Zao	-73.83304	40.76065	37-04 Prince St	Flushing	11354	NY	['37-04 Prince St', 'Flushing, NY 11354']	$$$	4.0	73
583	King Dragon	-73.91249	40.84323	120 Mt Eden Ave	Bronx	10452	NY	['120 Mt Eden Ave', 'Bronx, NY 10452']	$	4.5	7
584	Dragon China	-74.028869	40.627994	7917 3rd Ave	Brooklyn	11209	NY	['7917 3rd Ave', 'Brooklyn, NY 11209']	$	3.0	44
585	Jade Garden Restaurant	-73.839629	40.674301	9627 Linden Blvd	Ozone Park	11417	NY	['9627 Linden Blvd', 'Ozone Park, NY 11417']	$$	2.5	29
586	New China Fresh	-73.831141	40.705728	11924 Metropolitan Ave	Kew Gardens	11415	NY	['11924 Metropolitan Ave', 'Kew Gardens, NY 11415']	$	3.0	40
587	Noodles 28	-73.97997	40.74261	417 3rd Ave	New York	10016	NY	['417 3rd Ave', 'New York, NY 10016']	$$	3.0	199
588	Golden Star Chinese Restaurant	-74.083366	40.603137	2110 Clove Rd	Staten Island	10305	NY	['2110 Clove Rd', 'Staten Island, NY 10305']	$	3.0	27
589	East Garden	-73.9285962	40.7560263	32-10 36th Ave	Astoria	11106	NY	['32-10 36th Ave', 'Astoria, NY 11106']	$	3.5	44
590	Junzi Kitchen	-73.985688	40.754886	135 W 41st St	New York	10036	NY	['135 W 41st St', 'New York, NY 10036']	$$	4.0	87
591	The Best Sichuan一品成都	-73.98459	40.75266	47 W 39th St	New York	10018	NY	['47 W 39th St', 'New York, NY 10018']	$$	4.0	28
592	Lucky Lee's	-73.99347	40.73292	67 University Pl	New York	10003	NY	['67 University Pl', 'New York, NY 10003']		3.0	94
593	La Salle Dumpling Room	-73.95983	40.81403	3141 Broadway	New York	10027	NY	['3141 Broadway', 'New York, NY 10027']	$$	4.0	236
594	A-jiao	-73.948244	40.783159	1817 2nd Ave	New York	10128	NY	['1817 2nd Ave', 'New York, NY 10128']	$$	3.5	121
595	Cheong Fun Cart	-73.9963736857056	40.7176279773311	159 Hester St.	New York	10013	NY	['159 Hester St.', 'New York, NY 10013']	$	4.5	74
596	Dong Fang Kitchen	-73.921806	40.674346	433A Ralph Ave	Crown Heights	11233	NY	['433A Ralph Ave', 'Crown Heights, NY 11233']		4.5	2
