	name	Longitude	Latitude	address1	city	zip_code	state	display_address	price	rating	review_count
43	The Woo	-74.00371	40.7253	206 Spring St	New York	10012	NY	['206 Spring St', 'New York, NY 10012']		4.0	64
44	K-Bap	-73.97717	40.76332	62 W 56th St	New York	10019	NY	['62 W 56th St', 'New York, NY 10019']	$$	4.0	357
45	Bulbap Grill	-73.9509099	40.7243	646 Manhattan Ave	Brooklyn	11222	NY	['646 Manhattan Ave', 'Brooklyn, NY 11222']	$$	4.5	125
46	Kang Ho Dong Baekjeong	-73.9852144232788	40.747173576622	1 E 32nd St	New York	10016	NY	['1 E 32nd St', 'New York, NY 10016']	$$$	4.0	1212
47	Dubu Maru	-73.98735	40.74769	34 W 32nd St	New York	10001	NY	['34 W 32nd St', 'Fl 2', 'New York, NY 10001']	$$	4.5	131
48	Dae Sung Kal Guk Su	-73.80484	40.75616	45-04 162nd St	Flushing	11358	NY	['45-04 162nd St', 'Flushing, NY 11358']	$$	4.5	273
49	KICHIN	-73.92674	40.697783	1264 Myrtle Ave	Brooklyn	11221	NY	['1264 Myrtle Ave', 'Brooklyn, NY 11221']		4.5	32
50	Doma	-73.922957	40.7446884	43-43 41st St	Sunnyside	11104	NY	['43-43 41st St', 'Sunnyside, NY 11104']	$$	4.0	177
51	Taste Korea 232	-73.959718469777	40.691081049956	232 Taaffe Pl	Brooklyn	11205	NY	['232 Taaffe Pl', 'Brooklyn, NY 11205']	$$	3.5	190
52	Mokja	-73.9214469280272	40.7602569466645	3519 Broadway	Astoria	11106	NY	['3519 Broadway', 'Astoria, NY 11106']	$$	3.5	255
53	Kimchi Grill	-73.9634982	40.6750885	766 Washington Ave	Brooklyn	11238	NY	['766 Washington Ave', 'Brooklyn, NY 11238']	$$	4.0	560
54	Boka	-73.989104	40.729519	9 St Marks Pl	New York	10003	NY	['9 St Marks Pl', 'New York, NY 10003']	$$	3.5	1504
55	Hong Chun Cheon	-73.986192	40.74721	2 W 32nd St	New York	10001	NY	['2 W 32nd St', 'Fl 2', 'New York, NY 10001']	$$	3.0	33
56	Let's Meat	-73.985524	40.746774	307 5th Ave	New York	10016	NY	['307 5th Ave', 'New York, NY 10016']	$$$	4.0	900
57	Korean Tofu House	-74.01069	40.63536	763 61st St	Brooklyn	11220	NY	['763 61st St', 'Brooklyn, NY 11220']	$$	3.5	84
58	Danji	-73.98686	40.764	346 W 52nd St	New York	10019	NY	['346 W 52nd St', 'New York, NY 10019']	$$	4.0	991
59	Kini	-73.9196942	40.7541609	42-27 35th Ave	Long Island City	11101	NY	['42-27 35th Ave', 'Long Island City, NY 11101']	$$	3.5	101
60	Samwon Garden Korean BBQ	-73.9872	40.74811	37 W 32nd St	New York	10001	NY	['37 W 32nd St', 'New York, NY 10001']	$$$	4.0	420
61	Ms Yoo	-73.98978	40.72121	163 Allen St	New York	10002	NY	['163 Allen St', 'New York, NY 10002']	$$$	4.0	114
62	Little Dokebi	-73.942335	40.723048	85 Driggs Ave	Brooklyn	11222	NY	['85 Driggs Ave', 'Brooklyn, NY 11222']	$$	4.0	119
63	Windrose	-74.00392	40.72933	39 Downing St	New York	10014	NY	['39 Downing St', 'New York, NY 10014']		4.5	80
64	ON	-73.98513	40.74502	110 Madison Ave	New York	10016	NY	['110 Madison Ave', '1FL', 'New York, NY 10016']		4.5	99
65	GoGo-Gi	-73.94171	40.83794	3908 Broadway	New York	10032	NY	['3908 Broadway', 'New York, NY 10032']	$$	4.0	181
66	Korean Express	-73.96654	40.76423	807 Lexington Ave	New York	10065	NY	['807 Lexington Ave', 'New York, NY 10065']	$$	3.5	288
67	Soju Haus	-73.9851724	40.7468603	315 5th Ave	New York	10016	NY	['315 5th Ave', 'Fl 2', 'New York, NY 10016']	$$	4.0	540
68	Dokebi Bar & Grill	-73.9603	40.71421	199 Grand St	Brooklyn	11211	NY	['199 Grand St', 'Brooklyn, NY 11211']	$$	3.5	370
69	Mokja	-73.9678908884525	40.797744938993	852 Amsterdam	New York	10025	NY	['852 Amsterdam', 'New York, NY 10025']	$$	4.0	138
70	Mad For Chicken Williamsburg	-73.94751	40.71142	617 Grand St	Brooklyn	11211	NY	['617 Grand St', 'Brooklyn, NY 11211']	$$	4.5	90
71	Nostrand Cafe	-73.951142	40.68978	261 Nostrand Ave	Bedford-Stuyvesant	11216	NY	['261 Nostrand Ave', 'Bedford-Stuyvesant, NY 11216']	$$	4.5	103
72	The Basac	-73.807005	40.7634087	158-09 Northern Blvd	Flushing	11358	NY	['158-09 Northern Blvd', 'Flushing, NY 11358']	$$	4.0	187
73	GOGI 37	-73.9914546	40.7535849	252 West 37th St	New York	10018	NY	['252 West 37th St', 'Ste A', 'New York, NY 10018']	$$	3.5	292
74	Mill Korean	-73.9656521669528	40.8060225608803	2895 Broadway	New York	10025	NY	['2895 Broadway', 'New York, NY 10025']	$$	3.0	314
75	Korilla BBQ	-73.9858423383398	40.6935414945595	2 MetroTech Ctr	Brooklyn	11201	NY	['2 MetroTech Ctr', 'Metrotech Campus', 'Brooklyn, NY 11201']	$$	4.0	68
76	Bann Restaurant	-73.9878592313522	40.7628273031386	350 W 50th St	New York	10019	NY	['350 W 50th St', 'New York, NY 10019']	$$	3.5	617
77	Atomix	-73.98286	40.74421	104 E 30th St	New York	10016	NY	['104 E 30th St', 'New York, NY 10016']	$$$$	4.5	62
78	Kim Chee Korean Restaurant	-74.033546	40.618129	9324 3rd Ave	Brooklyn	11209	NY	['9324 3rd Ave', 'Brooklyn, NY 11209']	$$	3.5	198
79	Mokbar Brooklyn	-73.9756774902344	40.6811485290527	212 Flatbush Ave	Brooklyn	11217	NY	['212 Flatbush Ave', 'Brooklyn, NY 11217']	$$	3.5	136
80	Insa	-73.9825174981801	40.6795562014419	328 Douglass St	Brooklyn	11217	NY	['328 Douglass St', 'Brooklyn, NY 11217']	$$$	3.5	246
81	Woori Korean Restaurant	-73.99173	40.68506	196 Smith St	New York	11201	NY	['196 Smith St', 'New York, NY 11201']		5.0	8
82	Miss KOREA BBQ	-73.986336	40.747452	10 W 32nd St	New York	10001	NY	['10 W 32nd St', '1st, 2nd & Fl 3', 'New York, NY 10001']	$$	3.5	1665
83	Dons Bogam Black	-73.9866652214984	40.7458773458956	276 5th Ave	New York	10001	NY	['276 5th Ave', 'New York, NY 10001']	$$$	4.0	97
